ID Number,Password,Last Name,First Name,Midterm,Lab 1,Lab 2,Lab 3,Lab 4
1788788,SiKoLkVb,Smith,Thomas,43,47,74,84,63
1769647,NyKzKzMe,Murphy,William,89,61,81,77,69
1770270,LcEsHzQh,Lam,Nathan,86,41,100,74,46
1792727,VuOiRpSk,Martin,Judy,90,40,40,97,52
1706159,YcYjNtLa,Brown,Jane,52,75,64,81,56
1742218,SwAcVmHg,Roy,Jim,81,56,67,64,98
1741498,PmZxLpEg,Temblay,Alex,98,97,51,86,75
1701464,KtPbIiMg,Lee,Noah,72,46,77,48,62
1789251,KkQyDbZv,Gagnon,Felix,92,77,92,80,43
1706475,XzYtMfZc,Wilson,Oliver,47,92,48,96,91
